file_extension,file_size_mb,days_since_modified,days_since_accessed,duplicate_count,action_label
.mp4,66,13,36,2,REVIEW
.docx,34,295,297,3,CLEANUP
.tmp,120,55,81,1,CLEANUP
.tmp,53,295,295,0,CLEANUP
.zip,181,269,289,2,REVIEW
.log,57,281,302,2,CLEANUP
.rar,23,32,61,1,KEEP
.jpg,54,52,71,3,CLEANUP
.jpg,178,53,76,2,REVIEW
.jpg,191,260,272,2,REVIEW
.png,12,119,132,1,KEEP
.pdf,98,127,137,0,KEEP
.png,79,241,266,0,KEEP
.pdf,96,214,219,0,KEEP
.pdf,50,264,272,1,KEEP
.docx,121,320,348,3,CLEANUP
.pdf,65,107,125,0,KEEP
.rar,172,100,117,2,REVIEW
.json,83,177,182,3,CLEANUP
.json,179,186,208,1,REVIEW
.jpg,60,217,240,2,REVIEW
.pdf,23,213,233,2,KEEP
.zip,161,24,35,2,REVIEW
.csv,175,281,310,0,CLEANUP
.pdf,140,293,302,0,REVIEW
.log,48,359,386,3,CLEANUP
.mp4,47,146,159,2,KEEP
.log,124,13,30,0,KEEP
.txt,31,16,24,0,KEEP
.rar,54,100,112,2,REVIEW
.jpg,162,216,223,2,REVIEW
.pdf,3,28,33,3,CLEANUP
.pdf,28,310,331,0,KEEP
.rar,13,313,329,1,REVIEW
.txt,53,44,58,0,KEEP
.zip,13,165,170,3,CLEANUP
.txt,81,356,369,1,KEEP
.pdf,131,111,116,0,KEEP
.json,116,24,52,2,REVIEW
.rar,122,188,213,1,REVIEW
.png,119,156,171,2,REVIEW
.docx,92,186,197,2,REVIEW
.jpg,170,187,201,1,REVIEW
.log,165,134,140,3,CLEANUP
.log,153,33,55,1,CLEANUP
.docx,57,126,137,3,CLEANUP
.jpg,117,135,138,2,REVIEW
.zip,160,331,338,0,CLEANUP
.jpg,45,214,240,3,CLEANUP
.rar,157,157,158,1,REVIEW
.mp4,79,124,146,3,CLEANUP
.pdf,90,104,112,2,REVIEW
.txt,96,331,345,3,CLEANUP
.pdf,17,59,84,3,CLEANUP
.jpg,185,26,50,1,KEEP
.tmp,83,267,279,0,CLEANUP
.jpg,68,351,378,2,REVIEW
.tmp,49,175,194,1,CLEANUP
.tmp,188,57,71,2,CLEANUP
.png,26,241,258,0,KEEP
.mp4,105,248,269,0,REVIEW
.csv,155,226,240,3,CLEANUP
.jpg,21,46,50,1,KEEP
.tmp,86,210,223,1,CLEANUP
.docx,3,6,34,3,CLEANUP
.docx,108,161,177,3,CLEANUP
.csv,50,11,38,3,CLEANUP
.csv,16,68,70,3,CLEANUP
.csv,64,187,212,1,KEEP
.jpg,139,357,381,1,REVIEW
.jpg,55,358,379,1,KEEP
.csv,4,108,126,0,KEEP
.json,98,273,283,2,REVIEW
.jpg,194,247,254,0,REVIEW
.rar,96,94,94,2,REVIEW
.zip,187,84,107,1,KEEP
.png,86,44,52,0,KEEP
.pdf,101,156,165,2,REVIEW
.zip,170,252,259,1,REVIEW
.jpg,176,91,112,0,KEEP
.docx,93,364,376,0,KEEP
.pdf,9,248,270,2,KEEP
.csv,129,160,184,0,REVIEW
.mp4,67,117,146,2,REVIEW
.pdf,103,91,116,1,KEEP
.zip,173,116,144,3,CLEANUP
.jpg,82,324,324,1,KEEP
.json,154,116,138,1,KEEP
.txt,41,105,109,1,KEEP
.csv,22,354,377,0,KEEP
.docx,68,197,207,3,CLEANUP
.jpg,99,76,101,2,REVIEW
.tmp,188,199,213,2,CLEANUP
.json,40,133,153,1,KEEP
.txt,106,84,98,1,KEEP
.docx,136,41,56,2,REVIEW
.jpg,46,324,349,2,KEEP
.rar,129,195,209,3,CLEANUP
.txt,191,189,192,1,REVIEW
.png,24,4,6,1,KEEP
.rar,181,248,267,2,REVIEW
.json,95,254,274,1,KEEP
.jpg,188,54,59,0,KEEP
.png,168,103,108,0,KEEP
.tmp,3,179,200,2,CLEANUP
.docx,76,38,56,2,REVIEW
.zip,169,343,368,1,CLEANUP
.rar,101,25,40,2,REVIEW
.tmp,185,47,68,3,CLEANUP
.csv,22,213,234,0,KEEP
.pdf,16,59,81,2,KEEP
.png,32,162,191,0,KEEP
.tmp,10,214,238,0,CLEANUP
.jpg,180,111,135,2,REVIEW
.png,102,241,241,2,REVIEW
.jpg,36,81,89,2,KEEP
.txt,104,271,277,2,REVIEW
.txt,151,167,195,1,REVIEW
.log,162,251,259,0,CLEANUP
.pdf,70,262,281,3,CLEANUP
.docx,81,63,79,3,CLEANUP
.zip,109,183,183,0,REVIEW
.log,15,100,103,1,CLEANUP
.pdf,43,78,103,0,KEEP
.csv,189,247,250,3,CLEANUP
.png,83,168,186,0,KEEP
.jpg,27,336,341,3,CLEANUP
.docx,64,147,158,3,CLEANUP
.pdf,89,148,151,3,CLEANUP
.tmp,120,22,40,0,KEEP
.txt,7,206,229,2,KEEP
.jpg,16,83,101,1,KEEP
.docx,72,124,124,0,KEEP
.pdf,53,331,335,2,REVIEW
.mp4,134,97,101,0,KEEP
.rar,69,118,141,2,REVIEW
.log,50,19,40,0,KEEP
.pdf,47,167,170,0,KEEP
.zip,182,79,101,1,KEEP
.txt,128,310,338,3,CLEANUP
.csv,24,338,347,0,KEEP
.csv,62,157,166,0,KEEP
.pdf,58,325,352,1,KEEP
.jpg,82,219,235,3,CLEANUP
.pdf,131,266,267,0,REVIEW
.png,2,124,147,1,KEEP
.zip,154,295,321,0,CLEANUP
.json,20,41,62,3,CLEANUP
.jpg,84,322,351,0,KEEP
.pdf,67,134,148,2,REVIEW
.zip,96,48,53,0,KEEP
.jpg,59,258,286,3,CLEANUP
.json,154,266,286,2,REVIEW
.docx,179,48,68,2,REVIEW
.png,100,98,127,0,KEEP
.pdf,193,301,304,2,CLEANUP
.tmp,164,83,83,1,CLEANUP
.log,46,106,111,3,CLEANUP
.zip,74,283,304,1,REVIEW
.pdf,85,127,151,3,CLEANUP
.rar,132,93,119,0,KEEP
.mp4,147,248,275,0,REVIEW
.jpg,41,170,187,3,CLEANUP
.docx,39,245,267,2,KEEP
.png,47,63,63,0,KEEP
.pdf,43,290,297,2,KEEP
.mp4,195,318,343,0,CLEANUP
.zip,82,94,109,2,REVIEW
.txt,38,127,145,3,CLEANUP
.json,77,174,176,1,KEEP
.jpg,120,91,104,3,CLEANUP
.pdf,73,107,131,2,REVIEW
.tmp,28,353,374,0,CLEANUP
.zip,56,187,207,1,REVIEW
.zip,107,123,150,1,REVIEW
.mp4,164,114,141,2,REVIEW
.json,92,18,19,2,REVIEW
.tmp,139,186,210,0,CLEANUP
.tmp,135,61,71,1,CLEANUP
.pdf,129,311,313,1,REVIEW
.pdf,121,102,107,0,KEEP
.docx,133,202,229,0,REVIEW
.png,195,109,123,3,CLEANUP
.mp4,196,69,69,3,CLEANUP
.json,27,312,321,2,KEEP
.tmp,61,319,344,3,CLEANUP
.rar,55,302,324,3,CLEANUP
.txt,110,177,186,1,REVIEW
.json,97,213,241,0,KEEP
.pdf,109,35,41,1,KEEP
.jpg,5,87,103,3,CLEANUP
.rar,195,313,334,0,CLEANUP
.docx,165,87,99,3,CLEANUP
.zip,112,45,61,2,REVIEW
.pdf,194,134,145,1,KEEP
.tmp,33,209,238,2,CLEANUP
.png,122,138,152,3,CLEANUP
.jpg,162,201,210,3,CLEANUP
.tmp,167,247,261,1,CLEANUP
.tmp,118,152,159,2,CLEANUP
.jpg,175,289,318,0,CLEANUP
.jpg,74,175,184,0,KEEP
.docx,98,141,162,0,KEEP
.zip,176,239,251,3,CLEANUP
.jpg,64,317,345,2,REVIEW
.pdf,26,17,23,0,KEEP
.log,49,7,32,0,KEEP
.csv,193,241,270,0,REVIEW
.rar,131,207,235,0,REVIEW
.docx,26,144,168,1,KEEP
.png,120,312,312,0,REVIEW
.txt,80,364,382,1,KEEP
.txt,157,339,357,1,CLEANUP
.mp4,15,139,159,1,KEEP
.log,146,48,49,3,CLEANUP
.pdf,6,204,218,0,KEEP
.png,79,220,239,0,KEEP
.csv,82,322,334,0,KEEP
.csv,20,221,247,1,KEEP
.tmp,83,3,24,1,KEEP
.log,59,62,65,2,CLEANUP
.log,75,122,132,3,CLEANUP
.pdf,130,62,78,0,KEEP
.pdf,124,317,340,2,REVIEW
.pdf,164,136,144,1,KEEP
.jpg,112,318,324,3,CLEANUP
.jpg,99,211,222,0,KEEP
.log,92,265,292,1,CLEANUP
.png,145,215,217,0,REVIEW
.zip,36,245,266,1,REVIEW
.docx,170,269,279,1,REVIEW
.log,104,59,83,3,CLEANUP
.jpg,130,94,123,3,CLEANUP
.png,139,207,222,0,REVIEW
.jpg,178,346,368,1,CLEANUP
.csv,113,62,67,0,KEEP
.tmp,166,222,250,0,CLEANUP
.jpg,156,110,122,2,REVIEW
.jpg,22,74,80,0,KEEP
.txt,132,279,301,1,REVIEW
